,prix,kilometrage,energie,capacite,cO2,transmission,portes,CV,date
74,25500.0,60000.0,Diesel,7.0,120.0,Automatique,4.0,8.0,2018.0
75,12500.0,68500.0,Diesel,5.0,98.0,Manuelle,4.0,5.0,2017.0
76,4800.0,70000.0,Essence,5.0,154.0,Manuelle,4.0,5.0,2007.0
77,36120.0,15900.0,Diesel,4.0,124.0,Automatique,2.0,10.0,2018.0
78,11790.0,80500.0,Diesel,5.0,95.0,Manuelle,4.0,5.0,2015.0
79,3000.0,87700.0,Essence,5.0,,Manuelle,4.0,7.0,1982.0
80,20800.0,54000.0,Hybride,5.0,87.0,Automatique,4.0,4.0,2017.0
81,19500.0,12500.0,Essence,5.0,113.0,Manuelle,4.0,6.0,2017.0
82,10399.0,190000.0,Diesel,4.0,135.0,Manuelle,2.0,10.0,2010.0
83,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
84,7000.0,180000.0,Diesel,6.0,170.0,Manuelle,4.0,9.0,2011.0
85,2500.0,150000.0,Essence,5.0,163.0,Manuelle,4.0,6.0,2002.0
86,14500.0,46000.0,Diesel,5.0,99.0,Manuelle,4.0,5.0,2016.0
87,9900.0,19500.0,Essence,5.0,109.0,Manuelle,4.0,5.0,2017.0
88,2000.0,260000.0,Diesel,5.0,131.0,Manuelle,4.0,6.0,2005.0
89,22000.0,17700.0,Essence,5.0,127.0,Automatique,4.0,8.0,2018.0
90,5000.0,234000.0,Essence,4.0,,Manuelle,2.0,9.0,1981.0
91,7900.0,103500.0,Essence,5.0,129.0,Manuelle,4.0,7.0,2014.0
92,13500.0,85145.0,Hybride,5.0,99.0,Semi automatique,4.0,8.0,2014.0
93,3500.0,252700.0,Diesel,5.0,,Manuelle,4.0,7.0,1993.0
94,11000.0,396000.0,Essence,5.0,112.0,Manuelle,2.0,4.0,2014.0
95,7000.0,150400.0,Diesel,5.0,135.0,Manuelle,4.0,6.0,2012.0
96,7000.0,148000.0,Diesel,5.0,105.0,Manuelle,4.0,5.0,2014.0
97,26000.0,63900.0,Essence,2.0,219.0,Manuelle,2.0,21.0,2009.0
98,6500.0,184015.0,Diesel,5.0,109.0,Manuelle,4.0,6.0,2013.0
99,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
100,7000.0,70000.0,Essence,4.0,92.0,Manuelle,2.0,4.0,2014.0
101,12500.0,82500.0,Diesel,5.0,127.0,Manuelle,4.0,6.0,2015.0
102,3990.0,190000.0,Essence,4.0,164.0,Manuelle,2.0,6.0,2003.0
103,2000.0,216282.0,Diesel,5.0,143.0,Manuelle,4.0,7.0,2006.0
104,12900.0,46900.0,Diesel,5.0,135.0,Manuelle,4.0,5.0,2015.0
105,2900.0,184000.0,Essence,4.0,138.0,Manuelle,2.0,4.0,2005.0
106,2900.0,177000.0,Diesel,5.0,121.0,Manuelle,4.0,5.0,2007.0
107,1300.0,253000.0,Diesel,5.0,199.0,Automatique,4.0,10.0,2006.0
108,31600.0,17000.0,Diesel,7.0,136.0,Automatique,4.0,10.0,2018.0
109,3000.0,150000.0,Essence,5.0,183.0,Manuelle,4.0,7.0,1999.0
110,24900.0,34300.0,Diesel,5.0,98.0,Automatique,4.0,6.0,2019.0
